GEOID,NAME,incomeE,incomeM,povE,povM,povdenE,povdenM,pov_rate,pov_moe
48375,"Potter County, Texas",53249,2372,22778,1957,109370,185,0.20826552070951815,0.017889921234982984
48341,"Moore County, Texas",61762,4676,3867,1039,21154,77,0.1828023068923135,0.04911149902303435
48233,"Hutchinson County, Texas",67228,8462,2652,544,19904,35,0.13323954983922828,0.027330185462270683
48319,"Mason County, Texas",74180,6905,276,106,3947,11,0.06992652647580441,0.026855132792758005
48019,"Bandera County, Texas",75813,6485,2918,718,21663,185,0.13469971841388542,0.03312410253192038
48279,"Lamb County, Texas",60760,4148,1887,433,12556,85,0.15028671551449507,0.03447049411955872
48175,"Goliad County, Texas",59359,7643,918,222,7046,40,0.13028668748225944,0.031498555459147294
48023,"Baylor County, Texas",45370,9031,744,204,3415,4,0.2178623718887262,0.05973591175919821
48317,"Martin County, Texas",93734,17711,428,206,5145,40,0.08318756073858115,0.040033648940554604
48275,"Knox County, Texas",56667,6490,502,146,3189,16,0.15741611790529947,0.045775564000410524
48425,"Somervell County, Texas",79825,23833,716,190,9530,5,0.0751311647429171,0.01993700195575308
48163,"Frio County, Texas",66010,6533,3182,783,16306,401,0.19514289218692507,0.04777872904656433
48313,"Madison County, Texas",74596,7602,1241,361,11393,323,0.10892653383656631,0.03153527764637861
48411,"San Saba County, Texas",55819,7549,546,192,5087,64,0.10733241596225673,0.03771910320647707
48263,"Kent County, Texas",72889,17672,67,41,680,117,0.09852941176470588,0.05786174333125317
48075,"Childress County, Texas",58654,17186,815,348,5311,39,0.15345509320278666,0.06551469302897085
48433,"Stonewall County, Texas",56875,23710,176,89,1181,116,0.14902624894157493,0.07392461615273194
48109,"Culberson County, Texas",58777,24616,424,307,2177,18,0.19476343592099218,0.14101055704770524
48413,"Schleicher County, Texas",86694,15077,234,113,2358,3,0.09923664122137404,0.04792180145287282
48011,"Armstrong County, Texas",72750,13280,92,50,1771,126,0.05194805194805195,0.027989677486772075
48095,"Concho County, Texas",65795,12568,281,116,2466,95,0.11394971613949716,0.046834462995726134
48421,"Sherman County, Texas",61250,21618,234,137,2259,228,0.10358565737051793,0.059738346488384275
48365,"Panola County, Texas",64894,8447,2495,587,22290,29,0.11193360251233737,0.026334276564993105
48265,"Kerr County, Texas",69395,3840,5834,893,51367,98,0.11357486323904452,0.017383351824014612
48251,"Johnson County, Texas",84859,2719,19224,1892,192263,287,0.09998803721984989,0.009839554997573986
48035,"Bosque County, Texas",68914,4001,1700,317,18292,70,0.09293680297397769,0.01732633053813514
48081,"Coke County, Texas",43333,11825,735,151,3216,15,0.228544776119403,0.04694063429172314
48217,"Hill County, Texas",64591,2693,5363,734,36541,50,0.14676664568566816,0.020086021612943004
48363,"Palo Pinto County, Texas",67674,3848,4858,733,29008,18,0.16747104247104247,0.025268677655074033
48335,"Mitchell County, Texas",60550,10400,1052,380,7622,56,0.13802151666229337,0.04984536680711488
48189,"Hale County, Texas",51897,4443,6194,919,30162,57,0.2053577348982163,0.03046633017156256
48159,"Franklin County, Texas",72360,6650,1227,369,10518,22,0.11665715915573303,0.03508186678253907
48101,"Cottle County, Texas",59063,28606,233,99,1363,210,0.17094644167278064,0.06769040040610184
48171,"Gillespie County, Texas",76162,7606,2503,587,27121,65,0.09229010729692858,0.02164261444956607
48093,"Comanche County, Texas",59635,8590,2223,389,13754,49,0.16162570888468808,0.028276819352857977
48049,"Brown County, Texas",57470,4278,5600,822,36559,144,0.15317705626521513,0.02247610716861556
48267,"Kimble County, Texas",69455,13799,505,174,4323,46,0.11681702521397178,0.04023062802002834
48429,"Stephens County, Texas",58008,10198,1293,331,8828,51,0.14646579066606252,0.03748478742614527
48235,"Irion County, Texas",70357,19271,152,79,1409,148,0.1078779276082328,0.054911156516183876
48065,"Carson County, Texas",85231,6307,425,170,5711,56,0.0744177902293819,0.02975817060910505
48129,"Donley County, Texas",58750,10089,224,77,2848,30,0.07865168539325842,0.027023819890768498
48181,"Grayson County, Texas",72182,1791,15664,1732,140436,207,0.11153835198951836,0.01233192417086695
48493,"Wilson County, Texas",94565,5242,5904,1086,52217,112,0.11306662581151732,0.020796410468098
48253,"Jones County, Texas",59464,8588,2035,382,14483,199,0.14050956293585584,0.026304997218168206
48417,"Shackelford County, Texas",73047,13485,299,104,3139,12,0.0952532653711373,0.03312956940899231
48385,"Real County, Texas",39605,34535,484,251,2708,3,0.17872968980797638,0.09268811938431933
48255,"Karnes County, Texas",60214,9628,2223,621,11611,163,0.19145637757299114,0.05341618851810374
48505,"Zapata County, Texas",39239,4265,5190,818,13518,111,0.38393253439857966,0.06042973214500418
48357,"Ochiltree County, Texas",70183,9262,1151,396,9714,35,0.1184887790817377,0.040763669356438825
48097,"Cooke County, Texas",73932,4874,5737,879,42401,56,0.13530341265536192,0.02072987293964249
48115,"Dawson County, Texas",54360,12783,2014,580,10289,65,0.19574302653319078,0.05635731650478221
48381,"Randall County, Texas",83864,2804,13930,1798,143256,197,0.09723851007985704,0.012550245383514558
48207,"Haskell County, Texas",60653,10160,865,188,5226,128,0.1655185610409491,0.03574481481681599
48281,"Lampasas County, Texas",81736,7326,2052,351,22500,23,0.0912,0.0155997214330456
48271,"Kinney County, Texas",70000,8852,236,179,2814,14,0.08386638237384506,0.06360915038279576
48359,"Oldham County, Texas",79900,7717,363,183,1755,228,0.20683760683760682,0.10075168356826415
48113,"Dallas County, Texas",76547,806,360341,11118,2588967,1405,0.13918331133614295,0.004293712549133515
48083,"Coleman County, Texas",49159,3270,1526,479,7769,38,0.1964216758913631,0.06164781083108446
48367,"Parker County, Texas",104443,3349,13026,1635,163184,218,0.07982400235317189,0.010018797142164875
48299,"Llano County, Texas",67530,7397,2662,444,22175,59,0.12004509582863584,0.020020000240024236
48047,"Brooks County, Texas",47764,16489,1278,421,6587,141,0.19401852132989222,0.06377869173289205
48397,"Rockwall County, Texas",127981,4257,4949,843,122551,217,0.04038318740769149,0.006878397168708603
48059,"Callahan County, Texas",72436,8036,1350,384,14048,74,0.09609908883826879,0.02733016419637464
48145,"Falls County, Texas",57247,3673,2250,456,15293,111,0.14712613614071798,0.0297984352453574
48231,"Hunt County, Texas",71938,2536,12424,1575,105429,198,0.1178423393942843,0.014937324257652618
